"column_name","total_num_of_rows","num_of_null_val","num_of_distinct_val"
"visitstarttime_proper","4301122","0","148853"
"bounces","4301122","3826283","1"
"revenue","4301122","4285767","5269"
"unit_price","4301122","0","1442"
"timeonsite_proper","4301122","477465","3269"
"visitnumber","4301122","0","222"
"visitstarttime","4301122","0","148853"
"date","4301122","0","93"
"units_sold","4301122","4205975","134"
"pageviews","4301122","72","128"
"timeonsite","4301122","477465","3269"
"visitid","4301122","0","148642"
"channelgrouping","4301122","0","8"
"socialengagementtype","4301122","0","1"
"fullvisitorid","4301122","0","120018"
"userid","4301122","4301122","0"
